title,url,author,release_date,language,reading_level,downloads_last_30d
The Book-Hunter,https://www.gutenberg.org/ebooks/22136,John Hill Burton,"Jul 24, 2007",English,Difficult to read.,479
Confessions of a Book-Lover,https://www.gutenberg.org/ebooks/24003,Maurice Francis Egan,"Dec 24, 2007",English,Fairly difficult to read.,453
Susan B. Anthony,https://www.gutenberg.org/ebooks/20439,Alma Lutz,"Jan 25, 2007",English,Difficult to read.,2071
The Lives of the Poets of Great Britain and Ireland (1753) Volume II.,https://www.gutenberg.org/ebooks/16469,Theophilus Cibber,"Aug 7, 2005",English,Fairly difficult to read.,2057
Life of Harriet Beecher Stowe,https://www.gutenberg.org/ebooks/6702,Harriet Beecher Stowe,"Oct 1, 2004",English,Fairly difficult to read.,1526
Queen Victoria,https://www.gutenberg.org/ebooks/1265,Lytton Strachey,"Feb 19, 2006",English,Plain English. Easily understood.,866
George Borrow and His Circle,https://www.gutenberg.org/ebooks/19767,Clement King Shorter,"Nov 12, 2006",English,Difficult to read.,814
"Prince Henry the Navigator, the Hero of Portugal and of Modern Discovery, 1394-1460 A.D.",https://www.gutenberg.org/ebooks/18757,C. Raymond Beazley,"Jul 4, 2006",English,Fairly difficult to read.,683
"Eugene Field, a Study in Heredity and Contradictions — Volume 2",https://www.gutenberg.org/ebooks/12985,Slason Thompson,"Jul 22, 2004",English,Plain English. Easily understood.,659
Famous Men of the Middle Ages,https://www.gutenberg.org/ebooks/3725,John H. Haaren and Addison B. Poland,"Feb 1, 2003",English,Plain English. Easily understood.,646
The Every-day Life of Abraham Lincoln,https://www.gutenberg.org/ebooks/14004,Francis F. Browne,"Nov 10, 2004",English,Difficult to read.,630
"The Life of William Ewart Gladstone, Vol. 1 (of 3)",https://www.gutenberg.org/ebooks/21091,John Morley,"Apr 15, 2007",English,Plain English. Easily understood.,627
"Robert Louis Stevenson: A Record, an Estimate, and a Memorial",https://www.gutenberg.org/ebooks/590,Alexander H. Japp,"Jul 1, 1996",English,Plain English. Easily understood.,606
"Famous Affinities of History: The Romance of Devotion. Vol 1-4, Complete",https://www.gutenberg.org/ebooks/4693,Lyndon Orr,"Nov 1, 2003",English,Difficult to read.,569
Biographical Notes on the Pseudonymous Bells,https://www.gutenberg.org/ebooks/771,Charlotte Brontë,"Jan 1, 1997",English,Difficult to read.,530
Andrew Marvell,https://www.gutenberg.org/ebooks/17388,Augustine Birrell,"Dec 25, 2005",English,Fairly difficult to read.,524
Memoirs of the Comtesse Du Barry,https://www.gutenberg.org/ebooks/2563,baron de Etienne-Léon Lamothe-Langon,"Mar 1, 2001",English,Difficult to read.,497
"History of Julius Cæsar, Vol. 1 of 2",https://www.gutenberg.org/ebooks/45456,Emperor of the French Napoleon III,"Apr 22, 2014",English,Plain English. Easily understood.,477
Representative Men: Seven Lectures,https://www.gutenberg.org/ebooks/6312,Ralph Waldo Emerson,"Aug 1, 2004",English,Plain English. Easily understood.,469
Life and Letters of Robert Browning,https://www.gutenberg.org/ebooks/655,Robert Browning and Mrs. Sutherland Orr,"Jan 21, 2006",English,Difficult to read.,466
The Lives of the Poets of Great Britain and Ireland (1753) Volume I.,https://www.gutenberg.org/ebooks/10598,Theophilus Cibber,"Jan 1, 2004",English,Fairly difficult to read.,452
"William Lloyd Garrison, the Abolitionist",https://www.gutenberg.org/ebooks/14555,Archibald Henry Grimké,"Jan 1, 2005",English,Plain English. Easily understood.,411
"History of Julius Cæsar, Vol. 2 of 2",https://www.gutenberg.org/ebooks/45532,Emperor of the French Napoleon III,"Apr 29, 2014",English,Fairly easy to read.,382
Eminent Victorians,https://www.gutenberg.org/ebooks/2447,Lytton Strachey,"Dec 1, 2000",English,Fairly difficult to read.,363
Knights of Art: Stories of the Italian Painters,https://www.gutenberg.org/ebooks/529,Amy Steedman,"May 1, 1996",English,Plain English. Easily understood.,344
"Reminiscences of Tolstoy, by His Son",https://www.gutenberg.org/ebooks/813,graf Ilia Lvovich Tolstoi,"Feb 1, 1997",English,Fairly easy to read.,331
Martin Luther,https://www.gutenberg.org/ebooks/53499,Carl E. Koppenhaver,"Nov 11, 2016",English,Fairly difficult to read.,329
The Corner House Girls at School,https://www.gutenberg.org/ebooks/21034,Grace Brooks Hill,"Apr 11, 2007",English,Fairly easy to read.,1344
"The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports",https://www.gutenberg.org/ebooks/20789,H. Irving Hancock,"Mar 10, 2007",English,Very easy to read.,1240
Five Little Peppers and How They Grew,https://www.gutenberg.org/ebooks/2770,Margaret Sidney,"Aug 1, 2001",English,Fairly easy to read.,1229
Marjorie at Seacote,https://www.gutenberg.org/ebooks/18035,Carolyn Wells,"Mar 21, 2006",English,Plain English. Easily understood.,1070
"The Rover Boys on the Farm; or, Last Days at Putnam Hall",https://www.gutenberg.org/ebooks/22163,Edward Stratemeyer,"Jul 28, 2007",English,Fairly easy to read.,1038
The Adventures of Reddy Fox,https://www.gutenberg.org/ebooks/1825,Thornton W. Burgess,"Jul 1, 1999",English,Very easy to read.,997
Marjorie's New Friend,https://www.gutenberg.org/ebooks/8887,Carolyn Wells,"Sep 1, 2005",English,Fairly easy to read.,945
"Tom Swift and His Aerial Warship; Or, The Naval Terror of the Seas",https://www.gutenberg.org/ebooks/22951,Victor Appleton,"Oct 1, 2007",English,Fairly easy to read.,833
Five Little Peppers and How They Grew,https://www.gutenberg.org/ebooks/20037,Margaret Sidney,"Dec 7, 2006",English,Fairly easy to read.,756
Jack Harkaway and His Son's Escape from the Brigands of Greece,https://www.gutenberg.org/ebooks/7335,Bracebridge Hemyng,"Jan 1, 2005",English,Fairly easy to read.,718
Daddy Takes Us to the Garden,https://www.gutenberg.org/ebooks/14859,Howard Roger Garis,"Feb 1, 2005",English,Very easy to read.,683
"Frank Merriwell's Pursuit; Or, How to Win",https://www.gutenberg.org/ebooks/22874,Burt L. Standish,"Oct 3, 2007",English,Fairly easy to read.,668
Tom Swift in the Land of Wonders,https://www.gutenberg.org/ebooks/22952,Victor Appleton,"Oct 1, 2007",English,Fairly easy to read.,657
Old Mother West Wind,https://www.gutenberg.org/ebooks/2557,Thornton W. Burgess,"Mar 1, 2001",English,Fairly easy to read.,639
Dorothy Dale's Camping Days,https://www.gutenberg.org/ebooks/16091,Margaret Penrose,"Jun 18, 2005",English,Fairly easy to read.,635
"The Young Engineers in Arizona; or, Laying Tracks on the Man-killer Quicksand",https://www.gutenberg.org/ebooks/8153,H. Irving Hancock,"May 1, 2005",English,Fairly easy to read.,565
"The Rover Boys in Business; Or, The Search for the Missing Bonds",https://www.gutenberg.org/ebooks/5002,Edward Stratemeyer,"Feb 1, 2004",English,Fairly easy to read.,529
The Broncho Rider Boys with Funston at Vera Cruz,https://www.gutenberg.org/ebooks/19538,Frank Fowler,"Oct 14, 2006",English,Fairly easy to read.,526
Tom Swift and the Visitor From Planet X,https://www.gutenberg.org/ebooks/22333,II Victor Appleton,"Aug 16, 2007",English,Fairly easy to read.,525
Uncle Wiggily's Adventures,https://www.gutenberg.org/ebooks/15281,Howard Roger Garis,"Mar 7, 2005",English,Fairly easy to read.,495
Marjorie's Busy Days,https://www.gutenberg.org/ebooks/23531,Carolyn Wells,"Nov 18, 2007",English,Fairly easy to read.,478
"The Outdoor Girls at the Hostess House; Or, Doing Their Best for the Soldiers",https://www.gutenberg.org/ebooks/14136,Laura Lee Hope,"Nov 24, 2004",English,Plain English. Easily understood.,474
Frank Merriwell's Bravery,https://www.gutenberg.org/ebooks/22571,Burt L. Standish,"Sep 11, 2007",English,Fairly difficult to read.,458
The Submarine Boys on Duty,https://www.gutenberg.org/ebooks/17054,Victor G. Durham,"Nov 12, 2005",English,Fairly easy to read.,453
"Boy Scouts in the Philippines; Or, The Key to the Treaty Box",https://www.gutenberg.org/ebooks/20208,G. Harvey Ralphson,"Dec 29, 2006",English,Fairly easy to read.,451
The Railway Children,https://www.gutenberg.org/ebooks/1874,E. Nesbit,"Aug 1, 1999",English,Fairly easy to read.,13312
The Phoenix and the Carpet,https://www.gutenberg.org/ebooks/836,E. Nesbit,"Mar 1, 1997",English,Fairly easy to read.,2006
Five Children and It,https://www.gutenberg.org/ebooks/17314,E. Nesbit,"Dec 15, 2005",English,Fairly difficult to read.,1646
A Houseful of Girls,https://www.gutenberg.org/ebooks/20081,Sarah Tytler,"Dec 10, 2006",English,Plain English. Easily understood.,1173
"Making His Way; Or, Frank Courtney's Struggle Upward",https://www.gutenberg.org/ebooks/13803,Jr. Horatio Alger,"Oct 20, 2004",English,Fairly easy to read.,1154
"The Garret and the Garden; Or, Low Life High Up",https://www.gutenberg.org/ebooks/21737,R. M. Ballantyne,"Jun 7, 2007",English,Fairly easy to read.,1074
The Story of the Treasure Seekers,https://www.gutenberg.org/ebooks/770,E. Nesbit,"Jan 1, 1997",English,Fairly easy to read.,936
The Golden Dream,https://www.gutenberg.org/ebooks/22980,R. M. Ballantyne,"Oct 1, 2007",English,Fairly easy to read.,820
The Children's Pilgrimage,https://www.gutenberg.org/ebooks/6899,L. T. Meade,"Nov 1, 2004",English,Fairly easy to read.,775
Ragged Dick,https://www.gutenberg.org/ebooks/20689,Jr. Horatio Alger,"Feb 3, 2007",English,Fairly easy to read.,770
"From Farm to Fortune; or, Nat Nason's Strange Experience",https://www.gutenberg.org/ebooks/22565,Jr. Horatio Alger,"Sep 10, 2007",English,Fairly easy to read.,767
"Ragged Dick, Or, Street Life in New York with the Boot-Blacks",https://www.gutenberg.org/ebooks/5348,Jr. Horatio Alger,"Oct 5, 2004",English,Fairly easy to read.,758
The Story of the Amulet,https://www.gutenberg.org/ebooks/837,E. Nesbit,"Mar 1, 1997",English,Plain English. Easily understood.,673
The Rock of Chickamauga: A Story of the Western Crisis,https://www.gutenberg.org/ebooks/9745,Joseph A. Altsheler,"Jan 1, 2006",English,Plain English. Easily understood.,655
The Jolliest School of All,https://www.gutenberg.org/ebooks/20163,Angela Brazil,"Dec 22, 2006",English,Fairly easy to read.,651
The Coral Island: A Tale of the Pacific Ocean,https://www.gutenberg.org/ebooks/646,R. M. Ballantyne,"Sep 1, 1996",English,Fairly difficult to read.,649
The Castaways,https://www.gutenberg.org/ebooks/21238,Mayne Reid,"Apr 27, 2007",English,Plain English. Easily understood.,625
By Sheer Pluck: A Tale of the Ashanti War,https://www.gutenberg.org/ebooks/8576,G. A. Henty,"Jul 1, 2005",English,Very easy to read.,620
"Four Young Explorers; Or, Sight-Seeing in the Tropics",https://www.gutenberg.org/ebooks/24252,Oliver Optic,"Jan 11, 2008",English,Difficult to read.,596
The Magic Pudding,https://www.gutenberg.org/ebooks/23625,Norman Lindsay,"Nov 26, 2007",English,Plain English. Easily understood.,545
Girlhood and Womanhood,https://www.gutenberg.org/ebooks/19140,Sarah Tytler,"Aug 29, 2006",English,Fairly difficult to read.,481
The Scouts of the Valley,https://www.gutenberg.org/ebooks/1078,Joseph A. Altsheler,"Oct 1, 1997",English,Fairly easy to read.,465
The Magic City,https://www.gutenberg.org/ebooks/20606,E. Nesbit,"Feb 16, 2007",English,Fairly easy to read.,463
A Girl of the Commune,https://www.gutenberg.org/ebooks/24244,G. A. Henty,"Jan 11, 2008",English,Fairly difficult to read.,462
The Hunters of the Hills,https://www.gutenberg.org/ebooks/14890,Joseph A. Altsheler,"Feb 3, 2005",English,Fairly difficult to read.,436
Woman in the Nineteenth Century,https://www.gutenberg.org/ebooks/8642,Margaret Fuller,"Aug 1, 2005",English,Difficult to read.,4324
"Personal Memoirs of U. S. Grant, Complete",https://www.gutenberg.org/ebooks/4367,Ulysses S. Grant,"Jun 1, 2004",English,Difficult to read.,3733
Great Britain and the American Civil War,https://www.gutenberg.org/ebooks/13789,Ephraim Douglass Adams,"Oct 18, 2004",English,Fairly difficult to read.,2046
The Story of Mankind,https://www.gutenberg.org/ebooks/754,Hendrik Willem Van Loon,"Dec 1, 1996",English,Plain English. Easily understood.,1941
"The Journals of Lewis and Clark, 1804-1806",https://www.gutenberg.org/ebooks/8419,Meriwether Lewis and William Clark,"Jul 1, 2005",English,Fairly difficult to read.,1751
A Child's History of England,https://www.gutenberg.org/ebooks/699,Charles Dickens,"Oct 1, 1996",English,Fairly difficult to read.,1448
The Underground Railroad,https://www.gutenberg.org/ebooks/15263,William Still,"Mar 5, 2005",English,Fairly difficult to read.,1301
History of the Philippine Islands,https://www.gutenberg.org/ebooks/7001,Antonio de Morga,"Dec 1, 2004",English,Difficult to read.,1297
The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,https://www.gutenberg.org/ebooks/1015,Francis Parkman,"Apr 27, 2006",English,Fairly difficult to read.,1284
History of Holland,https://www.gutenberg.org/ebooks/14971,George Edmundson,"Feb 8, 2005",English,Difficult to read.,1198
The Story of the Barbary Corsairs,https://www.gutenberg.org/ebooks/22169,Stanley Lane-Poole and J. D. Jerrold Kelley,"Jul 28, 2007",English,Fairly difficult to read.,1127
The Loss of the S. S. Titanic: Its Story and Its Lessons,https://www.gutenberg.org/ebooks/6675,Lawrence Beesley,"Oct 1, 2004",English,Fairly difficult to read.,1126
A School History of the Great War,https://www.gutenberg.org/ebooks/17211,"Albert E. McKinley, Charles A. Coulomb, and Armand Jacques Gerson","Dec 3, 2005",English,Difficult to read.,1037
This Country of Ours,https://www.gutenberg.org/ebooks/3761,H. E. Marshall,"Feb 1, 2003",English,Fairly easy to read.,979
A School History of the United States,https://www.gutenberg.org/ebooks/11313,John Bach McMaster,"Feb 1, 2004",English,Fairly difficult to read.,943
