title,url,author,release_date,language,reading_level,downloads_last_30d
What is Property? An Inquiry into the Principle of Right and of Government,https://www.gutenberg.org/ebooks/360,P.-J. Proudhon,"Nov 1, 1995",English,Difficult to read.,545
"Mother Earth, Vol. 1 No. 1, March 1906",https://www.gutenberg.org/ebooks/26600,Various,"Sep 12, 2008",English,Fairly difficult to read.,442
Mutual Aid: A Factor of Evolution,https://www.gutenberg.org/ebooks/4341,kniaz Petr Alekseevich Kropotkin,"Aug 1, 2003",English,Difficult to read.,408
"Mother Earth, Vol. 1 No. 3, May 1906",https://www.gutenberg.org/ebooks/27262,Various,"Nov 14, 2008",English,Plain English. Easily understood.,361
God and the State,https://www.gutenberg.org/ebooks/20677,Mikhail Aleksandrovich Bakunin,"Feb 3, 2007",English,Plain English. Easily understood.,325
"""The Kingdom of God Is Within You""",https://www.gutenberg.org/ebooks/4602,graf Leo Tolstoy,"Nov 1, 2003",English,Difficult to read.,322
"System of Economical Contradictions; Or, The Philosophy of Misery",https://www.gutenberg.org/ebooks/444,P.-J. Proudhon,"Feb 1, 1996",English,Difficult to read.,265
"Mother Earth, Vol. 1 No. 4, June 1906",https://www.gutenberg.org/ebooks/27341,Various,"Nov 27, 2008",English,Plain English. Easily understood.,264
Marriage and Love,https://www.gutenberg.org/ebooks/20715,Emma Goldman,"Mar 1, 2007",English,Difficult to read.,229
"Mother Earth, Vol. 1 No. 2, April 1906",https://www.gutenberg.org/ebooks/27118,Various,"Nov 1, 2008",English,Fairly difficult to read.,207
The Golden Bough: A Study of Magic and Religion,https://www.gutenberg.org/ebooks/3623,James George Frazer,"Jan 1, 2003",English,Plain English. Easily understood.,2933
The Witch-cult in Western Europe: A Study in Anthropology,https://www.gutenberg.org/ebooks/20411,Margaret Alice Murray,"Jan 22, 2007",English,Fairly difficult to read.,1648
Influences of Geographic Environment,https://www.gutenberg.org/ebooks/15293,Ellen Churchill Semple,"Mar 8, 2005",English,Difficult to read.,1044
The Evolution of Man,https://www.gutenberg.org/ebooks/8700,Ernst Haeckel,"Aug 1, 2005",English,Difficult to read.,920
"The Journal of Negro History, Volume 1, January 1916",https://www.gutenberg.org/ebooks/13642,Various,"Oct 5, 2004",English,Difficult to read.,661
"The North American Indian, Vol. 1",https://www.gutenberg.org/ebooks/19449,Edward S. Curtis,"Oct 3, 2006",English,Difficult to read.,652
Traditions of the Tinguian: a Study in Philippine Folk-Lore,https://www.gutenberg.org/ebooks/12545,Fay-Cooper Cole,"Jun 1, 2004",English,Difficult to read.,615
Pygmies & Papuans: The Stone Age To-day in Dutch New Guinea,https://www.gutenberg.org/ebooks/53384,A. F. R. Wollaston,"Oct 27, 2016",English,Difficult to read.,584
Animal Figures in the Maya Codices,https://www.gutenberg.org/ebooks/19042,Alfred M. Tozzer and Glover M. Allen,"Aug 14, 2006",English,Fairly difficult to read.,569
The Pagan Tribes of Borneo,https://www.gutenberg.org/ebooks/3307,Charles Hose and William McDougall,"Jul 1, 2002",English,Difficult to read.,565
The Mafulu: Mountain People of British New Guinea,https://www.gutenberg.org/ebooks/17910,Robert Wood Williamson,"Mar 4, 2006",English,Fairly difficult to read.,519
"The Wild Tribes of Davao District, Mindanao",https://www.gutenberg.org/ebooks/18273,Fay-Cooper Cole,"Apr 28, 2006",English,Plain English. Easily understood.,497
Ancient Art and Ritual,https://www.gutenberg.org/ebooks/17087,Jane Ellen Harrison,"Nov 18, 2005",English,Fairly difficult to read.,473
"The Belief in Immortality and the Worship of the Dead, Volume 1 (of 3)",https://www.gutenberg.org/ebooks/20116,James George Frazer,"Dec 15, 2006",English,Difficult to read.,459
"Evolution Of The Japanese, Social And Psychic",https://www.gutenberg.org/ebooks/13831,Sidney Lewis Gulick,"Oct 22, 2004",English,Difficult to read.,434
The Evolution of Theology: an Anthropological Study,https://www.gutenberg.org/ebooks/2634,Thomas Henry Huxley,"May 1, 2001",English,Difficult to read.,432
"Balder the Beautiful, Volume I.",https://www.gutenberg.org/ebooks/12261,James George Frazer,"May 1, 2004",English,Difficult to read.,426
"The Prehistoric World; Or, Vanished Races",https://www.gutenberg.org/ebooks/2873,Emory Adams Allen,"Oct 1, 2001",English,Difficult to read.,417
History of the Conquest of Peru,https://www.gutenberg.org/ebooks/1323,William Hickling Prescott,"May 1, 1998",English,Difficult to read.,412
Kinship Organisations and Group Marriage in Australia,https://www.gutenberg.org/ebooks/17404,Northcote Whitridge Thomas,"Dec 28, 2005",English,Difficult to read.,342
"Quer Durch Borneo; Erster Teil :  Ergebnisse seiner Reisen in den Jahren 1894, 1896-97 und 1898-1900 (German)",https://www.gutenberg.org/ebooks/17379,Anton W. Nieuwenhuis,"Dec 23, 2005",German,Difficult to read.,305
De Nederlandsche Nationale Kleederdrachten (Dutch),https://www.gutenberg.org/ebooks/20665,Theodoor Molkenboer,"Feb 25, 2007",Dutch,Difficult to read.,285
Indians of the Yosemite valley and vicinity,https://www.gutenberg.org/ebooks/16572,Galen Clark,"Aug 21, 2005",English,Difficult to read.,266
Anthropology,https://www.gutenberg.org/ebooks/17280,R. R. Marett,"Dec 11, 2005",English,Fairly difficult to read.,247
"Quer Durch Borneo; Zweiter Teil :  Ergebnisse seiner Reisen in den Jahren 1894, 1896-97 und 1898-1900 (German)",https://www.gutenberg.org/ebooks/17383,Anton W. Nieuwenhuis,"Dec 23, 2005",German,Difficult to read.,213
"History of Egypt, Chaldea, Syria, Babylonia, and Assyria in the Light of Recent Discovery",https://www.gutenberg.org/ebooks/17321,L. W. King and H. R. Hall,"Jul 8, 2006",English,Difficult to read.,1097
Pagan and Christian Rome,https://www.gutenberg.org/ebooks/22153,Rodolfo Amedeo Lanciani,"Jul 26, 2007",English,Difficult to read.,767
The Forest of Dean: An Historical and Descriptive Account,https://www.gutenberg.org/ebooks/24505,H. G. Nicholls,"Feb 3, 2008",English,Difficult to read.,595
Animal Carvings from Mounds of the Mississippi Valley,https://www.gutenberg.org/ebooks/18184,Henry W. Henshaw,"Apr 17, 2006",English,Difficult to read.,545
Manual of Egyptian Archaeology and Guide to the Study of Antiquities in Egypt,https://www.gutenberg.org/ebooks/14400,G. Maspero,"Dec 20, 2004",English,Difficult to read.,538
"The American Journal of Archaeology, 1893-1",https://www.gutenberg.org/ebooks/20153,Various,"Dec 20, 2006",English,Difficult to read.,503
Chaldea: From the Earliest Times to the Rise of Assyria,https://www.gutenberg.org/ebooks/24654,Zénaïde A. Ragozin,"Feb 20, 2008",English,Fairly difficult to read.,418
Roman Britain in 1914,https://www.gutenberg.org/ebooks/19115,F. Haverfield,"Aug 25, 2006",English,Plain English. Easily understood.,383
Archeological Investigations,https://www.gutenberg.org/ebooks/18931,Gerard Fowke,"Jul 28, 2006",English,Difficult to read.,347
A Study of Pueblo Architecture: Tusayan and Cibola,https://www.gutenberg.org/ebooks/19856,Cosmos Mindeleff and Victor Mindeleff,"Nov 17, 2006",English,Difficult to read.,343
"Illustrated Catalogue of the Collections Obtained from the Pueblos of Zuñi, New Mexico, and Wolpi, Arizona, in 1881",https://www.gutenberg.org/ebooks/19606,James Stevenson,"Oct 23, 2006",English,Difficult to read.,342
Archeological Expedition to Arizona in 1895,https://www.gutenberg.org/ebooks/23691,Jesse Walter Fewkes,"Dec 3, 2007",English,Difficult to read.,337
A Study of Pueblo Pottery as Illustrative of Zuñi Culture Growth.,https://www.gutenberg.org/ebooks/17170,Frank Hamilton Cushing,"Nov 28, 2005",English,Difficult to read.,286
L'archéologie égyptienne (French),https://www.gutenberg.org/ebooks/10841,G. Maspero,"Jan 1, 2004",French,Fairly difficult to read.,286
"The Cliff Ruins of Canyon de Chelly, Arizona",https://www.gutenberg.org/ebooks/19723,Cosmos Mindeleff,"Nov 6, 2006",English,Fairly easy to read.,245
How to Observe in Archaeology,https://www.gutenberg.org/ebooks/13575,British Museum,"Oct 1, 2004",English,Difficult to read.,231
Prehistoric Textile Art of Eastern United States,https://www.gutenberg.org/ebooks/19921,William Henry Holmes,"Nov 27, 2006",English,Fairly difficult to read.,225
The Mound Builders,https://www.gutenberg.org/ebooks/17987,George Bryce,"Mar 15, 2006",English,Fairly difficult to read.,202
An Introduction to the mortuary customs of the North American Indians,https://www.gutenberg.org/ebooks/6462,H. C. Yarrow,"Sep 1, 2004",English,Difficult to read.,171
"Omaha Dwellings, Furniture and Implements",https://www.gutenberg.org/ebooks/19913,James Owen Dorsey,"Nov 24, 2006",English,Fairly difficult to read.,160
Navaho Houses,https://www.gutenberg.org/ebooks/18206,Cosmos Mindeleff,"Apr 19, 2006",English,Difficult to read.,158
Origin and Development of Form and Ornament in Ceramic Art.,https://www.gutenberg.org/ebooks/19953,William Henry Holmes,"Nov 28, 2006",English,Difficult to read.,144
Throwing-sticks in the National Museum,https://www.gutenberg.org/ebooks/17606,Otis Tufton Mason,"Jan 25, 2006",English,Fairly difficult to read.,123
The Problem of the Ohio Mounds,https://www.gutenberg.org/ebooks/4248,Cyrus Thomas,"Jul 1, 2003",English,Fairly difficult to read.,117
The Ten Books on Architecture,https://www.gutenberg.org/ebooks/20239,Vitruvius Pollio,"Dec 31, 2006",English,Difficult to read.,4465
Ely Cathedral,https://www.gutenberg.org/ebooks/20924,Anonymous,"Mar 28, 2007",English,Plain English. Easily understood.,2711
Shakespearean Playhouses,https://www.gutenberg.org/ebooks/22397,Joseph Quincy Adams,"Aug 25, 2007",English,Difficult to read.,761
"Cathedrals and Cloisters of the South of France, Volume 1",https://www.gutenberg.org/ebooks/22718,Elise Whitlock Rose,"Sep 22, 2007",English,Difficult to read.,738
Bell's Cathedrals: The Cathedral Church of Ely,https://www.gutenberg.org/ebooks/21003,W. D. Sweeting,"Apr 7, 2007",English,Fairly difficult to read.,712
"The Principles of Gothic Ecclesiastical Architecture, Elucidated by Question and Answer, 4th ed.",https://www.gutenberg.org/ebooks/19737,Matthew Holbeche Bloxam,"Nov 8, 2006",English,Difficult to read.,544
Old St. Paul's Cathedral,https://www.gutenberg.org/ebooks/16531,William Benham,"Aug 15, 2005",English,Plain English. Easily understood.,517
A Manual of Historic Ornament,https://www.gutenberg.org/ebooks/53373,Richard Glazier,"Oct 26, 2016",English,Difficult to read.,493
Bell's Cathedrals: The Cathedral Church of Winchester,https://www.gutenberg.org/ebooks/20346,Philip Walsingham Sergeant,"Jan 12, 2007",English,Difficult to read.,466
Bell's Cathedrals: The Cathedral Church of Hereford,https://www.gutenberg.org/ebooks/19487,A. Hugh Fisher,"Oct 7, 2006",English,Fairly difficult to read.,441
Bell's Cathedrals: Southwark Cathedral,https://www.gutenberg.org/ebooks/24616,George Worley,"Feb 14, 2008",English,Fairly difficult to read.,434
The Poetry of Architecture,https://www.gutenberg.org/ebooks/17774,John Ruskin,"Feb 16, 2006",English,Fairly difficult to read.,410
"Rural architecture :  Being a complete description of farm houses, cottages, and out buildings",https://www.gutenberg.org/ebooks/19998,Lewis F. Allen,"Dec 3, 2006",English,Difficult to read.,407
Bell's Cathedrals: The Cathedral Church of Exeter,https://www.gutenberg.org/ebooks/19424,Percy Addleshaw,"Oct 1, 2006",English,Difficult to read.,390
The Cathedral Church of Peterborough,https://www.gutenberg.org/ebooks/13618,W. D. Sweeting,"Oct 5, 2004",English,Fairly difficult to read.,372
Bell's Cathedrals: The Abbey Church of Tewkesbury,https://www.gutenberg.org/ebooks/22260,H. J. L. J. Massé,"Aug 7, 2007",English,Fairly difficult to read.,368
Bell's Cathedrals: The Cathedral Church of Salisbury,https://www.gutenberg.org/ebooks/23668,Gleeson White,"Nov 30, 2007",English,Difficult to read.,365
Bell's Cathedrals: The Cathedral Church of York,https://www.gutenberg.org/ebooks/19420,A. Clutton-Brock,"Oct 1, 2006",English,Fairly difficult to read.,341
Historical Sketch of the Cathedral of Strasburg,https://www.gutenberg.org/ebooks/22990,Anonymous,"Oct 12, 2007",English,Difficult to read.,325
The Cathedral Church of Canterbury [2nd ed.],https://www.gutenberg.org/ebooks/22832,Hartley Withers,"Oct 2, 2007",English,Difficult to read.,320
A Guide to Peterborough Cathedral,https://www.gutenberg.org/ebooks/20967,George S. Phillips,"Apr 3, 2007",English,Fairly difficult to read.,318
Bell's Cathedrals: The Cathedral Church of Chichester (1901),https://www.gutenberg.org/ebooks/13331,Hubert C. Corlette,"Aug 30, 2004",English,Plain English. Easily understood.,307
"Lectures on Architecture and Painting, Delivered at Edinburgh in November 1853",https://www.gutenberg.org/ebooks/23593,John Ruskin,"Nov 22, 2007",English,Fairly difficult to read.,302
Bell's Cathedrals: The Cathedral Church of Durham,https://www.gutenberg.org/ebooks/20191,Joseph E. Bygate,"Dec 26, 2006",English,Difficult to read.,291
Scottish Cathedrals and Abbeys,https://www.gutenberg.org/ebooks/21688,Dugald Butler,"Jun 6, 2007",English,Fairly difficult to read.,264
The Practice and Science of Drawing,https://www.gutenberg.org/ebooks/14264,Harold Speed,"Dec 6, 2004",English,Difficult to read.,3091
The Notebooks of Leonardo Da Vinci — Complete,https://www.gutenberg.org/ebooks/5000,da Vinci Leonardo,"Jan 1, 2004",English,Difficult to read.,2955
"The History of Painting in Italy, Vol. 5 (of 6)",https://www.gutenberg.org/ebooks/39996,Luigi Lanzi,"Jun 14, 2012",English,Difficult to read.,1275
"Handbuch der deutschen Kunstdenkmäler, Bd.1, Mitteldeutschland, 1914 (German)",https://www.gutenberg.org/ebooks/19460,Georg Dehio,"Oct 4, 2006",German,Fairly difficult to read.,1141
"The History of Painting in Italy, Vol. 2 (of 6)",https://www.gutenberg.org/ebooks/34585,Luigi Lanzi,"Dec 8, 2010",English,Fairly difficult to read.,1132
"The History of Painting in Italy, Vol. 1 (of 6)",https://www.gutenberg.org/ebooks/34479,Luigi Lanzi,"Nov 29, 2010",English,Difficult to read.,1126
"The History of Painting in Italy, Vol. 6 (of 6)",https://www.gutenberg.org/ebooks/41533,Luigi Lanzi,"Dec 1, 2012",English,Plain English. Easily understood.,1050
